city_code,prefecture_name,city_name,prefecture_name_k,city_name_k
011011,北海道,札幌市中央区,,
011029,北海道,札幌市北区,,
011037,北海道,札幌市東区,,
011045,北海道,札幌市白石区,,
011053,北海道,札幌市豊平区,,
011061,北海道,札幌市南区,,
011070,北海道,札幌市西区,,
011088,北海道,札幌市厚別区,,
011096,北海道,札幌市手稲区,,
011100,北海道,札幌市清田区,,
041017,宮城県,仙台市青葉区,,
041025,宮城県,仙台市宮城野区,,
041033,宮城県,仙台市若林区,,
041041,宮城県,仙台市太白区,,
041050,宮城県,仙台市泉区,,
111015,埼玉県,さいたま市西区,,
111023,埼玉県,さいたま市北区,,
111031,埼玉県,さいたま市大宮区,,
111040,埼玉県,さいたま市見沼区,,
111058,埼玉県,さいたま市中央区,,
111066,埼玉県,さいたま市桜区,,
111074,埼玉県,さいたま市浦和区,,
111082,埼玉県,さいたま市南区,,
111091,埼玉県,さいたま市緑区,,
111104,埼玉県,さいたま市岩槻区,,
121011,千葉県,千葉市中央区,,
121029,千葉県,千葉市花見川区,,
121037,千葉県,千葉市稲毛区,,
121045,千葉県,千葉市若葉区,,
121053,千葉県,千葉市緑区,,
121061,千葉県,千葉市美浜区,,
141011,神奈川県,横浜市鶴見区,,
141020,神奈川県,横浜市神奈川区,,
141038,神奈川県,横浜市西区,,
141046,神奈川県,横浜市中区,,
141054,神奈川県,横浜市南区,,
141062,神奈川県,横浜市保土ケ谷区,,
141071,神奈川県,横浜市磯子区,,
141089,神奈川県,横浜市金沢区,,
141097,神奈川県,横浜市港北区,,
141101,神奈川県,横浜市戸塚区,,
141119,神奈川県,横浜市港南区,,
141127,神奈川県,横浜市旭区,,
141135,神奈川県,横浜市緑区,,
141143,神奈川県,横浜市瀬谷区,,
141151,神奈川県,横浜市栄区,,
141160,神奈川県,横浜市泉区,,
141178,神奈川県,横浜市青葉区,,
141186,神奈川県,横浜市都筑区,,
141313,神奈川県,川崎市川崎区,,
141321,神奈川県,川崎市幸区,,
141330,神奈川県,川崎市中原区,,
141348,神奈川県,川崎市高津区,,
141356,神奈川県,川崎市多摩区,,
141364,神奈川県,川崎市宮前区,,
141372,神奈川県,川崎市麻生区,,
141518,神奈川県,相模原市緑区,,
141526,神奈川県,相模原市中央区,,
141534,神奈川県,相模原市南区,,
151017,新潟県,新潟市北区,,
151025,新潟県,新潟市東区,,
151033,新潟県,新潟市中央区,,
151041,新潟県,新潟市江南区,,
151050,新潟県,新潟市秋葉区,,
151068,新潟県,新潟市南区,,
151076,新潟県,新潟市西区,,
151084,新潟県,新潟市西蒲区,,
